Date;Residence;Ouvertures;Clotures
"31-12-2019";"Non-résident sans statut particulier";"320";"358"
"31-10-2022";"Non-résident sans statut particulier";"413";"466"
"28-02-2024";"Non-résident sans statut particulier";"707";"550"
"31-03-2023";"Non-résident sans statut particulier";"523";"554"
"30-11-2020";"Non-résident sans statut particulier";"406";"436"
"31-12-2019";"Non-résident CTR";"12";"25"
"28-02-2025";"Non-résident CTR";"70";"54"
"31-07-2019";"Non-résident CTR";"38";"26"
"31-07-2018";"Non-résident sans statut particulier";"194";"195"
"31-03-2014";"Résident";"1962";"2546"
"30-04-2021";"Résident";"2041";"2442"
"31-08-2024";"Non-résident CTR";"84";"31"
"31-07-2017";"Résident";"2217";"2089"
"30-11-2018";"Résident";"2568";"2212"
"31-12-2018";"Résident";"2323";"2134"
"28-02-2016";"Résident";"2127";"2263"
"31-05-2021";"Non-résident sans statut particulier";"360";"463"
"31-10-2015";"Non-résident sans statut particulier";"210";"189"
"31-08-2023";"Non-résident sans statut particulier";"476";"595"
"31-10-2015";"Non-résident CTR";"20";"7"
"30-04-2021";"Non-résident sans statut particulier";"444";"379"
"28-02-2017";"Non-résident CTR";"30";"13"
"30-11-2014";"Non-résident CTR";"14";"1"
"30-09-2017";"Non-résident CTR";"62";"15"
"31-08-2015";"Résident";"1863";"1988"
"30-09-2022";"Résident";"2955";"2582"
"31-10-2014";"Non-résident sans statut particulier";"128";"90"
"31-07-2023";"Résident";"2549";"2262"
"28-02-2018";"Non-résident CTR";"23";"15"
"30-06-2024";"Résident";"2178";"2344"
"28-02-2017";"Non-résident sans statut particulier";"308";"252"
"30-09-2016";"Non-résident sans statut particulier";"249";"221"
"30-09-2014";"Résident";"3011";"2490"
"31-03-2015";"Résident";"2116";"2663"
"30-04-2020";"Résident";"1791";"950"
"30-09-2022";"Non-résident sans statut particulier";"500";"419"
"30-09-2023";"Non-résident CTR";"35";"33"
"28-02-2022";"Résident";"1846";"2244"
"31-03-2022";"Résident";"2398";"2679"
"31-05-2014";"Non-résident CTR";"33";""
"31-03-2023";"Résident";"2528";"2664"
"31-03-2015";"Non-résident CTR";"24";"4"
"31-05-2014";"Résident";"1878";"2379"
"30-06-2021";"Non-résident CTR";"42";"26"
"30-09-2017";"Non-résident sans statut particulier";"255";"212"
"31-07-2017";"Non-résident sans statut particulier";"228";"230"
"31-12-2015";"Non-résident CTR";"43";"9"
"31-08-2015";"Non-résident sans statut particulier";"164";"155"
"31-01-2021";"Non-résident CTR";"39";"19"
"31-10-2019";"Résident";"3036";"2278"
"31-05-2018";"Non-résident sans statut particulier";"185";"228"
"30-04-2016";"Résident";"1685";"2207"
"31-05-2018";"Résident";"1781";"2395"
"31-03-2019";"Résident";"2509";"2934"
"30-11-2017";"Résident";"2227";"2104"
"31-03-2014";"Non-résident sans statut particulier";"101";"68"
"31-05-2022";"Non-résident sans statut particulier";"380";"500"
"31-12-2019";"Résident";"2251";"2144"
"31-03-2018";"Non-résident sans statut particulier";"221";"264"
"31-10-2015";"Résident";"2544";"2042"
"30-06-2016";"Résident";"1731";"2127"
"31-01-2025";"Non-résident CTR";"53";"45"
"31-10-2023";"Non-résident sans statut particulier";"597";"597"
"31-12-2023";"Résident";"2281";"1965"
"30-04-2021";"Non-résident CTR";"31";"18"
"30-06-2020";"Résident";"1897";"1718"
"28-02-2025";"Non-résident sans statut particulier";"673";"596"
"28-02-2021";"Résident";"2110";"2385"
"30-09-2021";"Non-résident sans statut particulier";"605";"430"
"28-02-2017";"Résident";"1975";"2181"
"31-05-2023";"Non-résident CTR";"37";"34"
"30-09-2022";"Non-résident CTR";"56";"35"
"30-06-2020";"Non-résident sans statut particulier";"338";"355"
"31-12-2014";"Non-résident sans statut particulier";"91";"82"
"31-10-2019";"Non-résident sans statut particulier";"532";"438"
"31-07-2023";"Non-résident CTR";"49";"22"
"30-04-2017";"Non-résident CTR";"33";"14"
"30-04-2025";"Résident";"2380";"2805"
"31-07-2018";"Résident";"2263";"2241"
"31-07-2014";"Non-résident CTR";"21";"1"
"30-11-2022";"Non-résident CTR";"78";"35"
"30-04-2020";"Non-résident sans statut particulier";"166";"232"
"28-02-2022";"Non-résident CTR";"46";"21"
"30-04-2016";"Non-résident sans statut particulier";"251";"215"
"30-09-2014";"Non-résident CTR";"15";"3"
"30-11-2021";"Résident";"2257";"2572"
"28-02-2016";"Non-résident sans statut particulier";"261";"177"
"31-08-2019";"Non-résident sans statut particulier";"413";"334"
"31-07-2022";"Résident";"2251";"2359"
"30-11-2021";"Non-résident sans statut particulier";"525";"472"
"30-06-2024";"Non-résident sans statut particulier";"474";"576"
"31-05-2019";"Non-résident CTR";"18";"35"
"30-09-2018";"Non-résident CTR";"15";"25"
"31-05-2015";"Non-résident CTR";"40";"3"
"28-02-2025";"Résident";"2512";"2651"
